호선,역명,장비,호기,고장발생일자,고장발생시간,조치완료일자,조치완료시간,조치소요시간,고장원인
1호선,방촌,E/L,#3,2023-01-02,11:00,2023-01-02,11:40,00:39,(E/L)도어장치 장애
2호선,수성구청,E/L,#1,2023-01-02,13:57,2023-01-02,15:30,01:33,(E/L)도어장치 장애
2호선,내당,E/L,#3,2023-01-02,18:47,2023-01-03,00:00,05:13,(E/L)제어장치 장애
2호선,만촌,E/L,#2,2023-01-03,08:21,2023-01-03,10:30,02:09,(E/L)구동장치 장애
1호선,반월당,E/L,#3,2023-01-04,19:21,2023-01-04,19:45,00:24,(E/L)제어장치 장애
2호선,경대병원,E/L,#2,2023-01-08,05:01,2023-01-08,06:40,01:39,(E/L)부속장치 장애
2호선,문양,E/L,#1,2023-01-08,14:28,2023-01-08,15:50,01:22,(E/L)도어장치 장애
2호선,정평,E/L,#1,2023-01-09,05:13,2023-01-09,09:30,04:17,(E/L)도어장치 장애
1호선,율하,E/L,#3,2023-01-09,11:06,2023-01-09,12:10,01:04,(E/L)제어장치 장애
2호선,감삼,E/L,#3,2023-01-10,11:14,2023-01-10,11:50,00:36,(E/L)도어장치 장애
2호선,내당,E/L,#3,2023-01-11,08:45,2023-01-11,10:30,01:45,(E/L)제어장치 장애
2호선,연호,E/L,#2,2023-01-12,10:25,2023-01-12,13:30,03:05,(E/L)제어장치 장애
2호선,연호,E/L,#2,2023-01-12,15:46,2023-01-12,17:00,01:14,(E/L)감지장치 장애
2호선,내당,E/L,#3,2023-01-12,17:11,2023-01-12,18:30,01:19,(E/L)제어장치 장애
1호선,진천,E/L,#2,2023-01-13,06:17,2023-01-13,07:50,01:33,(E/L)감지장치 장애
1호선,교대,E/L,#1,2023-01-13,10:58,2023-01-13,13:00,02:02,(E/L)부속장치 장애
2호선,죽전,E/L,#3,2023-01-17,08:05,2023-01-17,11:00,02:54,(E/L)도어장치 장애
2호선,내당,E/L,#1,2023-01-18,09:25,2023-01-18,10:00,00:35,(E/L)구동장치 장애
2호선,계명대,E/L,#4,2023-01-18,15:46,2023-01-18,16:00,00:14,(E/L)제어장치 장애
2호선,다사,E/L,#1,2023-01-19,14:04,2023-01-19,15:10,01:06,(E/L)구동장치 장애
