瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),弥措 鉴埃 浅加(m/s),乞闭 浅加(m/s),弥措 鉴埃 浅加 浅氢(deg)
828,崔己,2023-01-01,.1,-7.6,9.1,0,8.1,1.4,19.7
828,崔己,2023-01-02,.8,-2.2,5.2,0,8.6,2.6,8.3
828,崔己,2023-01-03,0,-4.5,6,0,8.6,2.3,0
828,崔己,2023-01-04,.2,-5.5,7.6,0,6.6,1.9,14
828,崔己,2023-01-05,-.3,-6.9,7.6,0,4.1,1,340.6
828,崔己,2023-01-06,1.4,-4.5,9.9,0,4.8,1.2,354.6
828,崔己,2023-01-07,2.6,-2.2,9.5,0,12,1.9,304
828,崔己,2023-01-08,.9,-6.3,10.5,0,4,.9,304
828,崔己,2023-01-09,3,-4.5,12,0,6.2,1.1,0
828,崔己,2023-01-10,3.3,-4.3,11.5,0,4.6,1.2,188.6
828,崔己,2023-01-11,2.7,-4.5,13.9,0,3.1,.6,0
828,崔己,2023-01-12,5.8,-4.1,15.4,0,5.3,1.1,168.8
828,崔己,2023-01-13,10.7,7.1,15.9,17.5,4.9,1.1,0
828,崔己,2023-01-14,9.8,7.5,12,2.5,4.7,1.3,298.2
828,崔己,2023-01-15,4.4,.2,7.7,1,8.7,2.1,19.7
828,崔己,2023-01-16,.1,-2.2,4.4,0,9.7,3.8,5.5
828,崔己,2023-01-17,-.1,-3.8,4.2,0,9.7,3.2,2.7
828,崔己,2023-01-18,.4,-3.8,5.8,0,5.3,1.3,0
828,崔己,2023-01-19,-.4,-6.2,7,0,4.2,.9,154.8
828,崔己,2023-01-20,.6,-3.7,7,0,13.4,2.7,346.2
828,崔己,2023-01-21,-1.7,-5.9,4.5,0,6.1,1.8,11.1
828,崔己,2023-01-22,.1,-4.8,4.5,0,4.7,1.5,326.5
828,崔己,2023-01-23,3.5,-4.7,10.4,0,10.2,2.1,354.6
828,崔己,2023-01-24,-6.7,-11,2.4,0,16.7,5.1,326.5
828,崔己,2023-01-25,-7.7,-12.9,-1.1,0,7.9,2.4,2.7
828,崔己,2023-01-26,-3.5,-11.9,3.5,0,6.2,1.6,8.3
828,崔己,2023-01-27,-2.3,-6.7,1.6,0,16.5,3.6,349
828,崔己,2023-01-28,-4.1,-8.6,2,0,9.6,1.8,354.6
828,崔己,2023-01-29,-.5,-9.6,7.5,0,7.5,1.5,180
828,崔己,2023-01-30,.4,-4.8,6.9,0,10,2.1,0
828,崔己,2023-01-31,2,-8.2,10.9,0,7.6,2.1,177.3
828,崔己,2023-02-01,4.8,-1.2,15.4,0,11.7,2.7,357.5
828,崔己,2023-02-02,1.8,-1.6,6.9,0,7.1,2.3,340.6
828,崔己,2023-02-03,3.1,-.6,9.4,0,5.7,1.9,349
828,崔己,2023-02-04,1.5,-3.1,7.8,0,9.1,2.5,11.1
828,崔己,2023-02-05,.9,-7.3,10.6,0,3.7,1.1,8.3
828,崔己,2023-02-06,3,-6.2,12.8,0,4.3,1,332.1
828,崔己,2023-02-07,5.1,-2.9,14.5,0,4.8,1.4,8.3
828,崔己,2023-02-08,4.4,-3.3,12.6,0,8.9,1.9,33.7
828,崔己,2023-02-09,4.9,-2,11.5,.5,10.1,1.7,135.1
828,崔己,2023-02-10,4.4,1.1,10,12,9.3,2.5,0
828,崔己,2023-02-11,3.1,-1.7,10.8,0,5,1.1,177.3
828,崔己,2023-02-12,3.4,-1.6,8.2,1,5.2,1.1,304
828,崔己,2023-02-13,6.6,3.4,9.6,.5,6.8,2.1,19.7
828,崔己,2023-02-14,5.4,.7,10.6,0,7.1,1.5,19.7
828,崔己,2023-02-15,4.1,1.9,7.2,0,5.7,1.5,19.7
828,崔己,2023-02-16,4.5,.4,10.6,0,6.6,1.2,157.6
828,崔己,2023-02-17,4.5,-1,8,0,3.3,.9,287.1
