호선,역명,출구번호,위도,경도
3,칠곡경대병원,1,35.95847,128.56
3,칠곡경대병원,2,35.95849,128.5598
3,칠곡경대병원,3,35.95793,128.5597
3,칠곡경대병원,4,35.95791,128.56
3,학정,1,35.95203,128.5594
3,학정,2,35.95205,128.5591
3,학정,3,35.95153,128.5591
3,학정,4,35.95152,128.5593
3,팔거,1,35.94453,128.5586
3,팔거,2,35.94457,128.5583
3,팔거,3,35.94403,128.5582
3,팔거,4,35.94399,128.5585
3,동천,1,35.93745,128.5564
3,칠곡운암,1,35.93182,128.5547
3,구암,1,35.92552,128.5502
3,태전,1,35.91933,128.5473
3,매천,1,35.91306,128.5433
3,매천시장,1,35.90404,128.5456
3,팔달,1,35.89758,128.5471
3,공단,1,35.89196,128.5536
3,만평,1,35.88991,128.5615
3,만평,2,35.88962,128.5613
3,팔달시장,1,35.88877,128.5679
3,원대,1,35.88778,128.5744
3,북구청,1,35.88399,128.5817
3,북구청,2,35.88405,128.5813
3,북구청,3,35.88361,128.5812
3,북구청,4,35.88354,128.5815
3,달성공원,1,35.87599,128.5822
3,달성공원,2,35.87598,128.582
3,달성공원,3,35.87544,128.582
3,달성공원,4,35.87544,128.5822
3,서문시장,1,35.86981,128.5823
3,서문시장,2,35.8698,128.5821
3,서문시장,3,35.86941,128.5821
3,서문시장,4,35.86943,128.5824
3,청라언덕3,1,35.86495,128.5819
3,청라언덕3,2,35.86454,128.5819
3,청라언덕3,3,35.86423,128.5822
3,청라언덕3,4,35.86376,128.5822
3,청라언덕3,5,35.86379,128.5825
3,청라언덕3,6,35.86423,128.5825
3,청라언덕3,7,35.86441,128.5825
3,청라언덕3,8,35.86481,128.5828
3,청라언덕3,9,35.86522,128.5828
3,남산,1,35.85675,128.5835
3,남산,2,35.85662,128.5834
3,명덕3,1,35.85734,128.5906
3,명덕3,2,35.85726,128.5905
3,명덕3,3,35.85675,128.5904
3,명덕3,4,35.85666,128.5904
3,명덕3,5,35.85717,128.5911
3,명덕3,6,35.85752,128.5912
3,명덕3,7,35.85762,128.5908
3,건들바위,1,35.85557,128.5992
3,건들바위,2,35.85533,128.5992
3,건들바위,3,35.85528,128.5998
3,건들바위,4,35.85553,128.5998
3,대봉교,1,35.85516,128.6057
3,대봉교,2,35.85493,128.6056
3,대봉교,3,35.85487,128.6065
3,대봉교,4,35.85512,128.6065
3,수성시장,1,35.85446,128.616
3,수성시장,2,35.85423,128.616
3,수성시장,3,35.85419,128.6166
3,수성시장,4,35.85442,128.6166
3,수성운동장,1,35.85245,128.6252
3,어린이회관,1,35.84563,128.6245
3,황금,1,35.83961,128.624
3,수성못,1,35.83179,128.6233
3,지산,1,35.82541,128.6316
3,범물,1,35.8211,128.64
3,범물,2,35.82092,128.6398
3,범물,3,35.82071,128.6401
3,범물,4,35.8209,128.6403
3,용지,1,35.81847,128.6465
3,용지,2,35.81809,128.6466
3,용지,3,35.81815,128.6471
3,용지,4,35.81854,128.647
